allele	layer	assay_id	assay_type	cell_type	description	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note
replacement	chromatin_accessibility	DNASE/EFO:0002067 DNase-seq/.	DNASE	K562		215.19053649902344	21.118675231933594	-3.288966487070076	1.0	0.9005	
replacement	histone_marks	CHIP_HISTONE/EFO:0002067 Histone ChIP-seq H3K27ac/.	CHIP	K562		4977.0	1951.5	-1.350243681951694	1.0	0.9874	
replacement	histone_marks	CHIP_HISTONE/EFO:0002067 Histone ChIP-seq H3K4me3/.	CHIP	K562		2159.5	1055.75	-1.031731118558941	1.0	0.8954	
replacement	tss_activity	CAGE/hCAGE EFO:0002067/+	CAGE	K562	variant site	26.432846069335938	15.44293212890625	-0.738436719354933	1.0	1.0	
