allele	layer	assay_id	region_label	assay_type	cell_type	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	UBE2S TSS	CAGE	K562	38.963645935058594	6.871025085449219	-2.3440647651395925	0.9999	0.9345	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	KIR3DL1 TSS	CAGE	K562	22.813199996948242	21.243896484375	-0.09835197327810777	0.9115	0.9213	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	KIR2DL4 TSS	CAGE	K562	8.067956924438477	8.502017974853516	0.06745639802680989	0.8723	0.8839	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	SHISA7 TSS	CAGE	K562	0.45069968700408936	0.5809333324432373	0.1240276365166712	0.9306	0.6584	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	KIR2DL1 TSS	CAGE	K562	21.144859313964844	21.392784118652344	0.016062079322724278	0.6233	0.9185	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ISOC2 TSS	CAGE	K562	5.811126708984375	72.05879211425781	3.4230925253941114	1.0	0.8727	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	C19orf85 TSS	CAGE	K562	0.5247383117675781	0.46875619888305664	-0.05396671605287227	0.8435	0.6811	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF628 TSS	CAGE	K562	2104.913330078125	6.858415603637695	-8.06599187858649	1.0	0.9783	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	KIR2DL3 TSS	CAGE	K562	12.962950706481934	14.006277084350586	0.10396225249122994	0.9162	0.9034	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	NAT14 TSS	CAGE	K562	2383.177978515625	42.064483642578125	-5.790849593576811	1.0	0.9794	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	KIR3DL3 TSS	CAGE	K562	21.16554832458496	18.25787353515625	-0.20287064308845756	0.9623	0.9186	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	SSC5D TSS	CAGE	K562	105.74905395507812	14.76498794555664	-2.759427312267725	1.0	0.9516	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	SBK2 TSS	CAGE	K562	1.9555749893188477	0.7944681644439697	-0.719882496729624	0.9944	0.8053	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	SBK3 TSS	CAGE	K562	4.380544662475586	7.502119064331055	0.660070241235601	0.9937	0.8594	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	LILRB4 TSS	CAGE	K562	84.52165222167969	104.24836730957031	0.2994362229609746	0.9759	0.9482	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF579 TSS	CAGE	K562	7.839223861694336	11.665960311889648	0.5189648611392669	0.991	0.8829	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	FIZ1 TSS	CAGE	K562	64.25792694091797	116.89115142822266	0.8532303748838641	0.9961	0.9434	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF524 TSS	CAGE	K562	796.7968139648438	94.74081420898438	-3.05881538163359	1.0	0.968	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	LILRB1 TSS	CAGE	K562	18.369230270385742	16.61483383178711	-0.13697575730561656	0.9403	0.9134	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF865 TSS	CAGE	K562	1685.9344482421875	125.9708023071289	-3.7318352298118636	1.0	0.9743	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF784 TSS	CAGE	K562	24.699752807617188	7.85670280456543	-1.5369128692317156	0.9989	0.9244	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	LILRA1 TSS	CAGE	K562	31.455219268798828	22.6039981842041	-0.4594192506485559	0.989	0.9298	
insertion	tss_activity	CAGE/hCAGE EFO:0002067/+	ZNF581 TSS	CAGE	K562	14.727989196777344	521.0101928710938	5.05267183646268	1.0	0.9071	
