allele	layer	assay_id	region_label	assay_type	cell_type	ref_value	alt_value	raw_score	quantile_score	ref_signal_percentile	note	focus_cell_type
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	MYBPHL TSS	CAGE	HepG2	187.69943237304688	217.64712524414062	0.21251429692610155	0.9743	0.9507		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	SARS1 TSS	CAGE	HepG2	48.705078125	49.38893127441406	0.019713605325968487	0.6884	0.9321		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	ELAPOR1 TSS	CAGE	HepG2	0.803260087966919	0.8056581020355225	0.0019172523907583301	0.2821	0.7637		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	PSMA5 TSS	CAGE	HepG2	11504.904296875	11532.8974609375	0.0035057262444152994	0.3736	0.9985		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	CFAP276 TSS	CAGE	HepG2	11.82859992980957	11.859798431396484	0.00350430143753518	0.3736	0.8977		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	TMEM167B TSS	CAGE	HepG2	354.96026611328125	357.5505065917969	0.010460145896249738	0.5673	0.9584		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	SYPL2 TSS	CAGE	HepG2	6.669330596923828	6.707468032836914	0.007156340380930805	0.4944	0.8765		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	TAF13 TSS	CAGE	HepG2	4062.908203125	4076.529541015625	0.004827514642728844	0.4264	0.9874		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	ATXN7L2 TSS	CAGE	HepG2	14.41950798034668	14.412424087524414	-0.0006629423807892263		0.9022		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	CYB561D1 TSS	CAGE	HepG2	9.268318176269531	9.252126693725586	-0.002276692982683841	0.3114	0.8883		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	AMIGO1 TSS	CAGE	HepG2	277.70294189453125	277.5581970214844	-0.0007494608923968104		0.9554		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	WDR47 TSS	CAGE	HepG2	1615.486572265625	1630.0963134765625	0.012980449844780912	0.6092	0.9718		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GPR61 TSS	CAGE	HepG2	0.06262606382369995	0.06296545267105103	0.0004607043332341438		0.3747		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GNAI3 TSS	CAGE	HepG2	351.115234375	352.62628173828125	0.0061778535595709136	0.4675	0.9584		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GNAT2 TSS	CAGE	HepG2	65.91476440429688	66.09471130371094	0.0038744820703045606	0.3896	0.9365		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	AMPD2 TSS	CAGE	HepG2	87.69005584716797	87.19255065917969	-0.00811555386238249	0.5232	0.9405		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	CLCC1 TSS	CAGE	HepG2	4130.54541015625	4133.53515625	0.001043612390758798	0.1992	0.9882		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GPSM2 TSS	CAGE	HepG2	23.558609008789062	23.46685791015625	-0.00540001015202221	0.4433	0.9149		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	AKNAD1 TSS	CAGE	HepG2	2.1042957305908203	2.1003975868225098	-0.0018127675730091287	0.272	0.8281		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GSTM4 TSS	CAGE	HepG2	60.78055953979492	61.02226638793945	0.0056333078281749025	0.4506	0.9358		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GSTM2 TSS	CAGE	HepG2	1.2461292743682861	1.2481606006622314	0.0013041368722309452	0.2283	0.7952		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GSTM1 TSS	CAGE	HepG2	0.6167757511138916	0.6180233955383301	0.0011128793050707284	0.2058	0.7401		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GSTM3 TSS	CAGE	HepG2	2320.196533203125	2321.408935546875	0.000753348621198161		0.9779		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	GSTM5 TSS	CAGE	HepG2	0.11138325929641724	0.11086949706077576	-0.0006670728526636753		0.5131		HepG2
alt_1	tss_activity	CAGE/hCAGE EFO:0001187/-	EPS8L3 TSS	CAGE	HepG2	3823.418701171875	3817.642333984375	-0.0021806807100152384	0.3035	0.9862		HepG2
alt_1	chromatin_accessibility	DNASE/EFO:0001187 DNase-seq/.		DNASE	HepG2	660.1571044921875	1666.310546875	1.3344578086817067	0.9981	0.9728		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	SORT1 (exons)	RNA	HepG2	0.0012056516266495613	0.0013820887166627932	0.07695472731954063	0.9994000000000001	0.3915		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	PSRC1 (exons)	RNA	HepG2	0.0028259216134839424	0.005093143099830264	0.4653646739725426	1.0	0.4606		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	CELSR2 (exons)	RNA	HepG2	0.1471734953191521	0.21912111887329536	0.39579408232662394	1.0	0.7017		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	MYBPHL (exons)	RNA	HepG2	0.0031932335729806475	0.004326936989374297	0.23930422723219308	1.0	0.4727		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	SARS1 (exons)	RNA	HepG2	7.393432120966717	7.477984916873094	0.01136977555957054	0.9907999999999999	0.9888		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	ELAPOR1 (exons)	RNA	HepG2	0.0388643048392958	0.039537611700209835	0.01674891917614381	0.9950000000000001	0.6333		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	PSMA5 (exons)	RNA	HepG2	0.0011839204744887373	0.001210647710281564	0.012163909725199585	0.9912000000000001	0.3895		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	CFAP276 (exons)	RNA	HepG2	0.0009848705963902942	0.0009971647022517921	0.006174804592191702	0.9765999999999999	0.3747		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	TMEM167B (exons)	RNA	HepG2	1.022748517366024	1.0267500227991244	0.00390106103360452	0.9466000000000001	0.8758		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	SYPL2 (exons)	RNA	HepG2	0.12628081375629732	0.1266196521514488	0.0026585953346475303	0.8928	0.6925		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	TAF13 (exons)	RNA	HepG2	0.00035715804730000896	0.0003592794347215537	0.001561889693280393	0.7716000000000001	0.2798		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	ATXN7L2 (exons)	RNA	HepG2	0.300577763062009	0.30155299633575416	0.003228553109375497	0.9236	0.7537		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	CYB561D1 (exons)	RNA	HepG2	0.261762262061697	0.2616167289705369	-0.000554011855694969		0.7418		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	AMIGO1 (exons)	RNA	HepG2	0.0007292565888387959	0.0007268388022196202	-0.001399143680960488	-0.7472	0.3486		HepG2
alt_1	gene_expression	RNA_SEQ/EFO:0001187 polyA plus RNA-seq/+	WDR47 (exons)	RNA	HepG2	0.00019441334354360879	0.00019549931128857217	0.000908792894593767		0.2276		HepG2
